@relation Frampt

@attribute mergeObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute intermediateReward numeric
@attribute nearestCoin numeric
@attribute nearestCreature numeric
@attribute distancePassedCells numeric
@attribute saltoSeguido numeric
@attribute marioOnGround {true,false}
@attribute marioMode numeric
@attribute reward24 numeric
@attribute coin24 numeric
@attribute creature24 numeric
@attribute distance24 numeric
@attribute salto24 numeric
@attribute ground24 {true,false}
@attribute mode24 numeric
@attribute merge24ObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute evaluacion numeric
@attribute DOWN {true,false}
@attribute JUMP {true,false}
@attribute LEFT {true,false}
@attribute RIGHT {true,false}
@attribute SPEED {true,false}
@attribute UP {true,false}

@data
0,169,11,5,28,0,true,2,243,11,2,36,0,true,2,0,1350,false,false,false,true,false,false
0,169,11,6,29,0,false,2,243,11,5,37,0,true,2,0,1350,false,false,false,true,false,false
0,169,11,4,29,0,false,2,243,11,6,37,0,false,2,0,1350,false,false,false,true,false,false
0,169,5,7,29,0,false,2,243,11,4,37,0,false,2,0,1350,false,false,false,true,false,false
0,179,5,7,30,0,false,2,243,5,7,38,0,false,2,0,1200,false,true,false,true,false,false
0,179,5,7,30,1,false,2,243,5,7,38,0,false,2,0,1200,false,true,false,true,false,false
0,179,4,11,30,2,false,2,243,5,7,38,1,false,2,0,1200,false,true,false,true,false,false
0,179,4,11,31,3,false,2,243,4,11,38,2,false,2,0,1170,false,true,false,true,false,false
0,179,4,11,31,4,false,2,243,4,11,38,3,false,2,0,1170,false,true,false,true,false,false
0,179,5,6,31,5,false,2,243,4,11,38,4,false,2,0,1170,false,true,false,true,false,false
0,179,5,6,32,6,false,2,243,5,6,38,5,false,2,0,1140,false,true,false,true,false,false
0,179,11,4,32,7,false,2,243,5,6,38,6,false,2,0,1140,false,true,false,true,false,false
0,179,11,4,33,8,false,2,243,11,4,38,7,false,2,0,1110,false,false,false,true,false,false
0,179,7,3,33,0,false,2,243,11,4,38,8,false,2,0,1110,false,false,false,true,false,false
0,179,8,2,33,0,true,2,243,7,3,39,0,false,2,0,1140,false,false,false,true,false,false
80,179,7,1,34,0,true,2,243,8,2,39,0,true,2,80,1110,false,false,false,true,false,false
0,179,7,11,34,0,true,2,243,7,1,39,0,true,2,0,1110,false,true,false,true,false,false
0,179,8,11,34,1,true,2,253,7,11,39,0,true,2,0,1260,false,true,false,true,false,false
0,179,7,11,35,2,false,2,253,8,11,39,1,true,2,0,1230,false,true,false,true,false,false
0,195,7,11,35,3,false,2,253,7,11,39,2,false,2,0,990,false,true,false,true,false,false
0,211,4,11,35,4,false,2,253,7,11,40,3,false,2,0,780,false,false,false,true,false,false
0,243,4,11,36,0,false,2,253,4,11,40,4,false,2,0,270,false,true,false,true,false,false
0,243,4,11,36,1,false,2,253,4,11,40,0,false,2,0,270,false,true,false,true,false,false
0,243,4,11,36,2,false,2,253,4,11,40,1,false,2,0,270,false,false,false,true,false,false
0,243,4,11,37,0,false,2,253,4,11,41,2,false,2,0,270,false,true,false,true,false,false
0,243,4,11,37,1,false,2,253,4,11,41,0,false,2,0,270,false,true,false,true,false,false
0,243,3,11,37,2,false,2,253,4,11,41,1,false,2,0,270,false,true,false,true,false,false
0,243,3,11,38,3,false,2,253,3,11,42,2,false,2,0,270,false,true,false,true,false,false
0,243,4,11,38,4,false,2,253,3,11,42,3,false,2,0,270,false,true,false,true,false,false
